Codebook Index Counts:
Index 398: 102
Index 399: 114
Index 400: 139
Index 401: 101
Index 402: 287
Index 403: 147
Index 404: 102
Index 405: 163
Index 406: 200
Index 407: 181
Index 408: 186
Index 409: 143
Index 410: 93
Index 411: 137
Index 412: 119
Index 413: 114
Index 414: 134
Index 415: 82
Index 416: 169
Index 417: 105
Index 418: 176
Index 419: 161
Index 420: 97
Index 421: 121
Index 422: 117
Index 423: 90
Index 424: 82
Index 425: 172
Index 426: 156
Index 427: 101
Index 428: 79
Index 429: 173
Index 430: 74
Index 431: 136
Index 432: 179
Index 433: 123
Index 434: 92
Index 435: 206
Index 436: 73
Index 437: 175
Index 438: 51
Index 439: 80
Index 440: 110
Index 441: 121
Index 442: 115
Index 443: 105
Index 444: 130
Index 445: 104
Index 446: 72
Index 447: 126
Index 448: 118
Index 449: 136
Index 450: 102
Index 451: 161
Index 452: 81
Index 453: 163
Index 454: 72
Index 455: 142
Index 456: 94
Index 457: 139
Index 458: 73
Index 459: 136
Index 460: 84
Index 461: 101
Index 462: 97
Index 463: 88
Index 464: 64
Index 465: 114
Index 466: 77
Index 467: 160
Index 468: 128
Index 469: 129
Index 470: 141
Index 471: 383
Index 472: 99
Index 473: 136
Index 474: 140
Index 475: 125
Index 476: 90
Index 477: 118
Index 478: 339
Index 479: 85
Index 480: 127
Index 481: 178
Index 482: 138
Index 483: 132
Index 484: 121
Index 485: 94
Index 486: 129
Index 487: 87
Index 488: 129
Index 489: 73
Index 490: 70
Index 491: 102
Index 492: 99
Index 493: 101
Index 494: 181
Index 495: 134
Index 496: 136
Index 497: 128
Index 498: 219
Index 499: 158
Index 500: 112
Index 501: 130
Index 502: 119
Index 503: 138
Index 504: 107
Index 505: 180
Index 506: 127
Index 507: 117
Index 508: 182
Index 509: 128
Index 510: 208
Index 511: 181
Index 512: 96
Index 513: 132
Index 514: 249
Index 515: 94
Index 516: 125
Index 517: 95
Index 518: 68
Index 519: 101
Index 520: 82
Index 521: 102
Index 522: 383
Index 523: 71
Index 524: 94
Index 525: 138
Index 526: 116
Index 527: 154
Index 528: 129
Index 529: 103
Index 530: 145
Index 531: 100
Index 532: 124
Index 533: 159
Index 534: 137
Index 535: 99
Index 536: 116
Index 537: 108
Index 538: 101
Index 539: 80
Index 540: 168
Index 541: 82
Index 542: 102
Index 543: 146
Index 544: 102
Index 545: 63
Index 546: 75
Index 547: 112
Index 548: 111
Index 549: 150
Index 550: 156
Index 551: 87
Index 552: 101
Index 553: 104
Index 554: 144
Index 555: 97
Index 556: 123
Index 557: 177
Index 558: 121
Index 559: 75
Index 560: 95
Index 561: 76
Index 562: 156
Index 563: 105
Index 564: 140
Index 565: 80
Index 566: 212
Index 567: 170
Index 568: 113
Index 569: 60
Index 570: 148
Index 571: 140
Index 572: 124
Index 573: 101
Index 574: 106
Index 575: 130
Index 576: 111
Index 577: 151
Index 578: 79
Index 579: 157
Index 580: 61
Index 581: 104
Index 582: 115
Index 583: 208
Index 584: 138
Index 585: 67
Index 586: 140
Index 587: 142
Index 588: 123
Index 589: 72
Index 590: 139
Index 591: 102
Index 592: 181
Index 593: 145
Index 594: 128
Index 595: 105
Index 596: 434
Index 597: 114
Index 598: 167
Index 599: 150
Index 600: 131
Index 601: 76
Index 602: 161
Index 603: 94
Index 604: 75
Index 605: 87
Index 606: 204
Index 607: 96
Index 608: 159
Index 609: 117
Index 610: 181
Index 611: 203
Index 612: 194
Index 613: 86
Index 614: 121
Index 615: 232
Index 616: 126
Index 617: 166
Index 618: 106
Index 619: 127
Index 620: 125
Index 621: 79
Index 622: 172
Index 623: 133
Index 624: 103
Index 625: 153
Index 626: 102
Index 627: 130
Index 628: 110
Index 629: 170
Index 630: 76
Index 631: 152
Index 632: 137
Index 633: 143
Index 634: 87
Index 635: 132
Index 636: 99
Index 637: 260
Index 638: 68
Index 639: 109
Index 640: 135
Index 641: 59
Index 642: 108
Index 643: 124
Index 644: 78
Index 645: 107
Index 646: 90
Index 647: 120
Index 648: 88
Index 649: 102
Index 650: 154
Index 651: 129
Index 652: 122
Index 653: 317
Index 654: 92
Index 655: 172
Index 656: 110
Index 657: 119
Index 658: 165
Index 659: 150
Index 660: 108
Index 661: 295
Index 662: 148
Index 663: 197
Index 664: 89
Index 665: 114
Index 666: 145
Index 667: 105
Index 668: 119
Index 669: 86
Index 670: 136
Index 671: 123
Index 672: 106
Index 673: 103
Index 674: 99
Index 675: 162
Index 676: 164
Index 677: 108
Index 678: 134
Index 679: 117
Index 680: 90
Index 681: 114
Index 682: 160
Index 683: 111
Index 684: 143
