Codebook Index Counts:
Index 397: 112
Index 398: 96
Index 399: 89
Index 400: 146
Index 401: 122
Index 402: 104
Index 403: 119
Index 404: 142
Index 405: 116
Index 406: 135
Index 407: 133
Index 408: 109
Index 409: 113
Index 410: 98
Index 411: 95
Index 412: 145
Index 413: 100
Index 414: 83
Index 415: 145
Index 416: 176
Index 417: 111
Index 418: 138
Index 419: 110
Index 420: 129
Index 421: 103
Index 422: 122
Index 423: 128
Index 424: 129
Index 425: 79
Index 426: 139
Index 427: 145
Index 428: 137
Index 429: 154
Index 430: 160
Index 431: 93
Index 432: 244
Index 433: 106
Index 434: 138
Index 435: 91
Index 436: 104
Index 437: 113
Index 438: 107
Index 439: 116
Index 440: 108
Index 441: 88
Index 442: 160
Index 443: 123
Index 444: 122
Index 445: 130
Index 446: 90
Index 447: 157
Index 448: 91
Index 449: 109
Index 450: 165
Index 451: 132
Index 452: 106
Index 453: 122
Index 454: 112
Index 455: 171
Index 456: 87
Index 457: 107
Index 458: 91
Index 459: 123
Index 460: 135
Index 461: 128
Index 462: 101
Index 463: 134
Index 464: 105
Index 465: 97
Index 466: 77
Index 467: 121
Index 468: 104
Index 469: 160
Index 470: 157
Index 471: 207
Index 472: 107
Index 473: 112
Index 474: 124
Index 475: 102
Index 476: 75
Index 477: 127
Index 478: 117
Index 479: 125
Index 480: 126
Index 481: 88
Index 482: 98
Index 483: 109
Index 484: 78
Index 485: 102
Index 486: 157
Index 487: 112
Index 488: 119
Index 489: 85
Index 490: 94
Index 491: 130
Index 492: 106
Index 493: 141
Index 494: 137
Index 495: 110
Index 496: 120
Index 497: 132
Index 498: 164
Index 499: 117
Index 500: 108
Index 501: 125
Index 502: 130
Index 503: 90
Index 504: 77
Index 505: 109
Index 506: 219
Index 507: 95
Index 508: 114
Index 509: 120
Index 510: 329
Index 511: 126
Index 512: 126
Index 513: 136
Index 514: 117
Index 515: 121
Index 516: 109
Index 517: 127
Index 518: 107
Index 519: 135
Index 520: 116
Index 521: 148
Index 522: 238
Index 523: 104
Index 524: 125
Index 525: 148
Index 526: 137
Index 527: 133
Index 528: 120
Index 529: 126
Index 530: 111
Index 531: 124
Index 532: 98
Index 533: 109
Index 534: 78
Index 535: 107
Index 536: 120
Index 537: 91
Index 538: 143
Index 539: 135
Index 540: 126
Index 541: 120
Index 542: 109
Index 543: 92
Index 544: 145
Index 545: 114
Index 546: 131
Index 547: 126
Index 548: 125
Index 549: 158
Index 550: 173
Index 551: 165
Index 552: 107
Index 553: 121
Index 554: 139
Index 555: 81
Index 556: 136
Index 557: 125
Index 558: 135
Index 559: 142
Index 560: 146
Index 561: 117
Index 562: 101
Index 563: 121
Index 564: 94
Index 565: 152
Index 566: 139
Index 567: 119
Index 568: 133
Index 569: 117
Index 570: 103
Index 571: 196
Index 572: 117
Index 573: 174
Index 574: 178
Index 575: 155
Index 576: 117
Index 577: 109
Index 578: 90
Index 579: 138
Index 580: 96
Index 581: 133
Index 582: 115
Index 583: 108
Index 584: 121
Index 585: 131
Index 586: 90
Index 587: 142
Index 588: 120
Index 589: 99
Index 590: 111
Index 591: 112
Index 592: 123
Index 593: 96
Index 594: 109
Index 595: 123
Index 596: 175
Index 597: 97
Index 598: 148
Index 599: 120
Index 600: 90
Index 601: 164
Index 602: 145
Index 603: 115
Index 604: 116
Index 605: 107
Index 606: 157
Index 607: 182
Index 608: 119
Index 609: 107
Index 610: 148
Index 611: 163
Index 612: 146
Index 613: 133
Index 614: 159
Index 615: 180
Index 616: 108
Index 617: 102
Index 618: 153
Index 619: 142
Index 620: 108
Index 621: 113
Index 622: 133
Index 623: 110
Index 624: 144
Index 625: 121
Index 626: 175
Index 627: 80
Index 628: 144
Index 629: 123
Index 630: 137
Index 631: 127
Index 632: 102
Index 633: 169
Index 634: 119
Index 635: 94
Index 636: 99
Index 637: 118
Index 638: 92
Index 639: 124
Index 640: 129
Index 641: 106
Index 642: 115
Index 643: 115
Index 644: 95
Index 645: 105
Index 646: 92
Index 647: 150
Index 648: 153
Index 649: 173
Index 650: 127
Index 651: 119
Index 652: 130
Index 653: 164
Index 654: 109
Index 655: 109
Index 656: 114
Index 657: 114
Index 658: 159
Index 659: 143
Index 660: 109
Index 661: 167
Index 662: 137
Index 663: 106
Index 664: 130
Index 665: 169
Index 666: 79
Index 667: 97
Index 668: 177
Index 669: 132
Index 670: 122
Index 671: 104
Index 672: 119
Index 673: 94
Index 674: 113
Index 675: 110
Index 676: 177
Index 677: 124
Index 678: 104
Index 679: 117
Index 680: 118
Index 681: 118
Index 682: 132
Index 683: 112
Index 684: 99
Index 685: 131
Index 686: 197
Index 687: 97
Index 688: 100
Index 689: 128
Index 690: 110
Index 691: 155
Index 692: 157
Index 693: 121
Index 694: 96
Index 695: 89
Index 696: 119
Index 697: 169
Index 698: 150
Index 699: 115
Index 700: 100
Index 701: 79
Index 702: 95
Index 703: 117
Index 704: 182
Index 705: 107
Index 706: 137
Index 707: 218
Index 708: 151
Index 709: 149
Index 710: 114
Index 711: 160
Index 712: 115
Index 713: 108
Index 714: 128
Index 715: 111
Index 716: 86
Index 717: 131
Index 718: 94
Index 719: 127
Index 720: 116
Index 721: 76
Index 722: 191
Index 723: 134
Index 724: 127
Index 725: 163
