Codebook Index Counts:
Index 397: 566
Index 398: 559
Index 399: 490
Index 400: 655
Index 401: 553
Index 402: 441
Index 403: 625
Index 404: 576
Index 405: 545
Index 406: 533
Index 407: 589
Index 408: 521
Index 409: 611
Index 410: 428
Index 411: 451
Index 412: 774
Index 413: 439
Index 414: 510
Index 415: 539
Index 416: 771
Index 417: 539
Index 418: 520
Index 419: 617
Index 420: 526
Index 421: 528
Index 422: 510
Index 423: 514
Index 424: 635
Index 425: 572
Index 426: 600
Index 427: 548
Index 428: 523
Index 429: 671
Index 430: 573
Index 431: 566
Index 432: 911
Index 433: 521
Index 434: 567
Index 435: 574
Index 436: 479
Index 437: 425
Index 438: 505
Index 439: 458
Index 440: 545
Index 441: 442
Index 442: 712
Index 443: 545
Index 444: 490
Index 445: 434
Index 446: 422
Index 447: 635
Index 448: 586
Index 449: 585
Index 450: 566
Index 451: 677
Index 452: 443
Index 453: 601
Index 454: 502
Index 455: 676
Index 456: 522
Index 457: 523
Index 458: 485
Index 459: 635
Index 460: 502
Index 461: 619
Index 462: 475
Index 463: 571
Index 464: 526
Index 465: 496
Index 466: 457
Index 467: 586
Index 468: 614
Index 469: 565
Index 470: 520
Index 471: 662
Index 472: 505
Index 473: 665
Index 474: 648
Index 475: 408
Index 476: 570
Index 477: 538
Index 478: 565
Index 479: 584
Index 480: 544
Index 481: 560
Index 482: 518
Index 483: 564
Index 484: 398
Index 485: 505
Index 486: 456
Index 487: 438
Index 488: 529
Index 489: 429
Index 490: 430
Index 491: 556
Index 492: 511
Index 493: 640
Index 494: 712
Index 495: 573
Index 496: 565
Index 497: 597
Index 498: 649
Index 499: 633
Index 500: 500
Index 501: 540
Index 502: 450
Index 503: 524
Index 504: 512
Index 505: 560
Index 506: 607
Index 507: 540
Index 508: 564
Index 509: 427
Index 510: 799
Index 511: 609
Index 512: 553
Index 513: 659
Index 514: 467
Index 515: 427
Index 516: 556
Index 517: 523
Index 518: 531
Index 519: 568
Index 520: 549
Index 521: 583
Index 522: 647
Index 523: 416
Index 524: 448
Index 525: 746
Index 526: 537
Index 527: 552
Index 528: 530
Index 529: 380
Index 530: 651
Index 531: 538
Index 532: 532
Index 533: 583
Index 534: 432
Index 535: 550
Index 536: 458
Index 537: 536
Index 538: 483
Index 539: 518
Index 540: 603
Index 541: 461
Index 542: 490
Index 543: 517
Index 544: 631
Index 545: 425
Index 546: 549
Index 547: 518
Index 548: 604
Index 549: 598
Index 550: 634
Index 551: 523
Index 552: 460
Index 553: 597
Index 554: 695
Index 555: 508
Index 556: 559
Index 557: 548
Index 558: 567
Index 559: 676
Index 560: 644
Index 561: 515
Index 562: 567
Index 563: 462
Index 564: 429
Index 565: 593
Index 566: 542
Index 567: 599
Index 568: 489
Index 569: 413
Index 570: 541
Index 571: 582
Index 572: 598
Index 573: 513
Index 574: 647
Index 575: 655
Index 576: 563
Index 577: 581
Index 578: 439
Index 579: 569
Index 580: 364
Index 581: 519
Index 582: 554
Index 583: 517
Index 584: 520
Index 585: 612
Index 586: 502
Index 587: 597
Index 588: 534
Index 589: 447
Index 590: 508
Index 591: 542
Index 592: 511
Index 593: 502
Index 594: 518
Index 595: 563
Index 596: 604
Index 597: 439
Index 598: 570
Index 599: 528
Index 600: 518
Index 601: 647
Index 602: 459
Index 603: 510
Index 604: 420
Index 605: 464
Index 606: 544
Index 607: 555
Index 608: 541
Index 609: 607
Index 610: 502
Index 611: 655
Index 612: 645
Index 613: 504
Index 614: 673
Index 615: 661
Index 616: 492
Index 617: 596
Index 618: 649
Index 619: 577
Index 620: 487
Index 621: 441
Index 622: 718
Index 623: 539
Index 624: 539
Index 625: 537
Index 626: 653
Index 627: 469
Index 628: 598
Index 629: 517
Index 630: 518
Index 631: 506
Index 632: 551
Index 633: 600
Index 634: 487
Index 635: 538
Index 636: 507
Index 637: 512
Index 638: 392
Index 639: 511
Index 640: 530
Index 641: 474
Index 642: 505
Index 643: 575
Index 644: 500
Index 645: 567
